Unnamed: 0,User,org:resource,concept:name,Cumulative net worth (EUR),time:timestamp,case:Spend area text,case:Company,case:Document Type,case:Sub spend area text,case:Purchasing Document,case:Purch. Doc. Category name,case:Vendor,case:Item Type,case:Item Category,case:Spend classification text,case:Source,case:Name,case:GR-Based Inv. Verif.,case:Item,case:concept:name,case:Goods Receipt
1590025,1590025,NONE,NONE,Vendor creates invoice,198.0,2017-12-16 22:59:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,10,4507075964_00010,False
1590026,1590026,user_602,user_602,Create Purchase Order Item,198.0,2018-01-03 12:47:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,10,4507075964_00010,False
1590027,1590027,user_603,user_603,Change Approval for Purchase Order,198.0,2018-01-03 13:56:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,10,4507075964_00010,False
1590028,1590028,user_359,user_359,Record Invoice Receipt,198.0,2018-01-04 09:04:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,10,4507075964_00010,False
1590029,1590029,user_604,user_604,Clear Invoice,198.0,2018-01-10 11:35:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,10,4507075964_00010,False
1590030,1590030,user_602,user_602,Change Approval for Purchase Order,198.0,2018-04-06 08:38:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,10,4507075964_00010,False
1590031,1590031,user_603,user_603,Change Approval for Purchase Order,198.0,2018-04-06 13:58:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,10,4507075964_00010,False
1590032,1590032,user_603,user_603,Change Approval for Purchase Order,62.0,2018-01-03 13:56:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,20,4507075964_00020,False
1590033,1590033,NONE,NONE,Vendor creates invoice,62.0,2018-03-23 22:59:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,20,4507075964_00020,False
1590034,1590034,user_602,user_602,Change Approval for Purchase Order,62.0,2018-04-06 08:38:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,20,4507075964_00020,False
1590035,1590035,user_602,user_602,Create Purchase Order Item,62.0,2018-04-06 08:38:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,20,4507075964_00020,False
1590036,1590036,user_603,user_603,Change Approval for Purchase Order,62.0,2018-04-06 13:58:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,20,4507075964_00020,False
1590037,1590037,user_359,user_359,Record Invoice Receipt,62.0,2018-07-27 03:11:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,20,4507075964_00020,False
1590038,1590038,user_604,user_604,Clear Invoice,62.0,2018-08-01 15:33:00+00:00,Others,companyID_0003,Framework order,Utilities,4507075964,Purchase order,vendorID_1686,Limit,2-way match,OTHER,sourceSystemID_0000,vendor_1610,False,20,4507075964_00020,False
1590039,1590039,NONE,NONE,Vendor creates debit memo,15349.0,2017-12-21 22:59:00+00:00,Real Estate,companyID_0003,Framework order,Real estate brokers or agents,4507075965,Purchase order,vendorID_1687,Limit,2-way match,NPR,sourceSystemID_0000,vendor_1611,False,10,4507075965_00010,False
